Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Running,2019-12-13T13:32:03Z,FALSE,Bruz Running,8.17,683,00:47:23,159,171,3.8,160,167,05:48:00,4:28,22,36,1.08,0,0,0,0,0,00:00:00,23,00:00:00,No,00:58:00,9,0
Running,2019-12-10T15:48:11Z,FALSE,Bruz Running,8.03,674,00:45:49,160,181,4.1,161,167,05:42:00,4:52,30,28,1.09,0,0,0,0,0,00:00:00,23,00:00:00,No,00:08:00,9,0
Running,2019-12-08T10:02:46Z,FALSE,Vern-sur-Seiche Running,14.41,1331,01:29:58,163,179,5.0,155,168,06:15:00,5:05,128,151,1.03,0,0,0,0,0,00:00:00,26,00:00:00,No,02:31:00,15,0
Running,2019-12-05T17:49:18Z,FALSE,Bruz Running,6.01,497,00:35:28,152,178,3.5,153,169,05:54:00,4:47,32,31,1.11,0,0,0,0,0,00:00:00,24,00:00:00,No,00:05:00,7,0
Running,2019-12-02T14:54:10Z,FALSE,Bruz Running,8.23,692,00:46:28,161,175,4.2,159,167,05:39:00,4:24,27,34,1.11,0,0,0,0,0,00:00:00,24,00:00:00,No,01:18:00,9,0
Running,2019-11-28T16:34:56Z,FALSE,Bruz Running,11.04,910,01:07:33,150,175,3.9,157,166,06:07:00,5:19,32,43,1.04,0,0,0,0,0,00:00:00,26,00:00:00,No,00:12:00,12,0
Running,2019-11-26T15:10:19Z,FALSE,Bruz Running,6,500,00:38:03,149,165,3.3,156,168,06:20:00,4:49,23,26,1.01,0,0,0,0,0,00:00:00,27,00:00:00,No,00:01:00,7,0
Running,2019-11-25T14:44:49Z,FALSE,Bruz Running,6.05,446,00:33:44,148,170,3.2,158,168,05:34:00,4:38,24,23,1.14,0,0,0,0,0,00:00:00,23,00:00:00,No,00:20:00,7,0
Running,2019-11-21T15:44:09Z,FALSE,Bruz Running,10.15,815,00:59:58,156,170,4.0,158,166,05:54:00,4:37,42,33,1.07,0,0,0,0,0,00:00:00,27,00:00:00,No,00:56:00,11,0
Running,2019-11-19T14:09:51Z,FALSE,Bruz Running,10.01,798,00:58:46,155,172,3.7,159,166,05:52:00,5:06,33,31,1.07,0,0,0,0,0,00:00:00,24,00:00:00,No,00:06:00,11,0
Running,2019-11-16T15:29:34Z,FALSE,Rennes Running,9.67,827,00:56:24,165,179,4.6,158,166,05:50:00,4:29,63,79,1.09,0,0,0,0,0,00:00:00,24,00:00:00,No,03:36:00,10,0
Running,2019-11-14T17:45:21Z,FALSE,Bruz Running,8.03,676,00:44:51,168,184,4.4,160,167,05:35:00,4:55,52,25,1.12,0,0,0,0,0,00:00:00,17,00:00:00,No,00:09:00,9,0
Running,2019-11-11T16:35:17Z,FALSE,Bruz Running,5.03,411,00:31:23,146,160,3.2,154,238,06:14:00,5:17,47,40,1.04,0,0,0,0,0,00:00:00,20,00:00:00,No,00:05:00,6,0
Running,2019-11-09T10:57:20Z,FALSE,Bruz Running,1.07,91,00:06:55,147,155,2.0,153,164,06:30:00,5:28,9,4,1.01,0,0,0,0,0,00:00:00,26,00:00:00,No,00:26:00,2,0
Running,2019-11-09T10:45:00Z,FALSE,Running,8,719,00:50:00,--,--,--,--,--,06:15:00,--,--,--,0,0,0,0,0,0,00:00:00,0,00:00:00,No,00:00:00,1,0
Running,2019-11-08T15:53:43Z,FALSE,Bruz Running,10.02,823,00:59:45,157,177,4.4,157,164,05:58:00,5:10,30,35,1.07,0,0,0,0,0,00:00:00,18,00:00:00,No,00:06:00,11,0
Running,2019-11-02T11:15:38Z,FALSE,Bruz Running,8.1,674,00:49:13,156,167,4.3,160,166,06:05:00,5:05,32,25,1.03,0,0,0,0,0,00:00:00,26,00:00:00,No,00:37:00,9,0
Running,2019-10-31T13:36:04Z,FALSE,Bruz Running,10,849,00:59:53,164,180,5.0,158,166,05:59:00,4:53,30,32,1.06,0,0,0,0,0,00:00:00,21,00:00:00,No,00:01:00,11,0
