Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Cycling,2019-11-18T08:20:04Z,FALSE,Bruz Cycling,1.15,57,00:05:46,122,144,0.7,--,--,11.9,20.2,16,--,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Pool Swimming,2019-11-17T14:58:26Z,FALSE,Lap Swimming,"1,075",315,00:37:37,--,--,--,--,--,3:19,1:18,--,--,0,0,0,0,0,0,1141,76,32,00:00:00,00:00:00,27,00:00:00,No,00:00:00,1,0
Running,2019-11-16T15:29:34Z,FALSE,Rennes Running,9.67,827,00:56:24,165,179,4.6,158,166,5:50,4:29,63,79,1.09,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,03:36:00,10,0
Running,2019-11-14T17:45:21Z,FALSE,Bruz Running,8.03,676,00:44:51,168,184,4.4,160,167,5:35,4:55,52,25,1.12,0,0,0,0,0,--,--,--,00:00:00,00:00:00,17,00:00:00,No,00:09:00,9,0
Pool Swimming,2019-11-13T18:16:40Z,FALSE,Lap Swimming,625,197,00:18:29,--,--,--,--,--,2:51,0:54,--,--,0,0,0,0,0,0,571,66,32,00:00:00,00:00:00,27,00:00:00,No,00:00:00,1,0
Cycling,2019-11-12T08:15:53Z,FALSE,Bruz Cycling,2.14,88,00:09:58,117,144,0.8,--,--,12.9,23.2,19,9,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,25,00:00:00,No,00:00:00,1,0
Running,2019-11-11T16:35:17Z,FALSE,Bruz Running,5.03,411,00:31:23,146,160,3.2,154,238,6:14,5:17,47,40,1.04,0,0,0,0,0,--,--,--,00:00:00,00:00:00,20,00:00:00,No,00:05:00,6,0
Cycling,2019-11-11T15:24:11Z,FALSE,Bruz Cycling,11.32,389,00:54:04,113,137,0.9,--,--,12.6,23.3,51,46,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,19,00:00:00,No,05:26:00,3,0
Running,2019-11-09T10:57:20Z,FALSE,Bruz Running,1.07,91,00:06:55,147,155,2.0,153,164,6:30,5:28,9,4,1.01,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:26:00,2,0
Running,2019-11-09T10:45:00Z,FALSE,Running,8.00,719,00:50:00,--,--,--,--,--,6:15,--,--,--,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,0,00:00:00,No,00:00:00,1,0
Running,2019-11-08T15:53:43Z,FALSE,Bruz Running,10.02,823,00:59:45,157,177,4.4,157,164,5:58,5:10,30,35,1.07,0,0,0,0,0,--,--,--,00:00:00,00:00:00,18,00:00:00,No,00:06:00,11,0
Cycling,2019-11-08T08:17:05Z,FALSE,Bruz Cycling,5.77,254,00:29:18,120,148,1.5,--,--,11.8,22.7,41,35,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,22,00:00:00,No,03:03:00,2,0
Cycling,2019-11-07T17:46:49Z,FALSE,Rennes Cycling,15.49,703,00:58:59,142,169,3.5,--,--,15.8,22.9,63,68,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,14,00:00:00,No,10:40:00,4,0
Cycling,2019-11-07T08:02:37Z,FALSE,Bruz Cycling,8.96,513,00:57:25,130,160,2.5,--,--,9.4,25.9,71,54,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,20,00:00:00,No,20:37:00,2,0
Cycling,2019-11-04T17:21:35Z,FALSE,Bruz Cycling,2.13,76,00:09:27,114,141,0.7,--,--,13.5,21.5,17,7,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,24,00:00:00,No,00:00:00,1,0
Cycling,2019-11-03T11:32:01Z,FALSE,Bruz Cycling,2.94,111,00:16:56,105,131,0.5,--,--,10.4,23.3,21,11,0,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:00:00,1,0
Pool Swimming,2019-11-02T16:46:02Z,FALSE,Lap Swimming,725,215,00:21:18,--,--,--,--,--,2:54,0:56,--,--,0,0,0,0,0,0,672,67,32,00:00:00,00:00:00,27,00:00:00,No,00:00:00,1,0
Running,2019-11-02T11:15:38Z,FALSE,Bruz Running,8.10,674,00:49:13,156,167,4.3,160,166,6:05,5:05,32,25,1.03,0,0,0,0,0,--,--,--,00:00:00,00:00:00,26,00:00:00,No,00:37:00,9,0
Running,2019-10-31T13:36:04Z,FALSE,Bruz Running,10.00,849,00:59:53,164,180,5.0,158,166,5:59,4:53,30,32,1.06,0,0,0,0,0,--,--,--,00:00:00,00:00:00,21,00:00:00,No,00:01:00,11,0
